name,category,ministry,state_coverage,benefits_summary,description
National Welfare Scheme 11 (Health),Health,Ministry of Finance,Uttar Pradesh,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 12 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,Gujarat,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 13 (Health),Health,Ministry of Finance,All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 14 (Health),Health,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 15 (MSME),MSME,Ministry of Finance,Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 16 (Health),Health,Ministry of Agriculture & Farmers Welfare,Gujarat,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 17 (MSME),MSME,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 18 (Agriculture),Agriculture,Ministry of Education,Maharashtra,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 19 (Finance),Finance,Ministry of Education,Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 20 (MSME),MSME,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 21 (MSME),MSME,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 22 (Health),Health,Ministry of Health and Family Welfare,Maharashtra,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 23 (Health),Health,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 24 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 25 (MSME),MSME,"Ministry of Micro, Small and Medium Enterprises",Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 26 (MSME),MSME,Ministry of Education,Uttar Pradesh,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 27 (Finance),Finance,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 28 (MSME),MSME,Ministry of Education,Uttar Pradesh,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 29 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 30 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Maharashtra,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 31 (Finance),Finance,Ministry of Health and Family Welfare,Uttar Pradesh,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 32 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 33 (MSME),MSME,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 34 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 35 (Health),Health,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 36 (Education),Education,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 37 (Agriculture),Agriculture,Ministry of Education,Maharashtra,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 38 (Health),Health,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 39 (MSME),MSME,Ministry of Education,Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 40 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Maharashtra,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 41 (Finance),Finance,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 42 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 43 (Finance),Finance,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 44 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 45 (MSME),MSME,Ministry of Education,Karnataka,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 46 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 47 (Health),Health,Ministry of Agriculture & Farmers Welfare,Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 48 (Finance),Finance,Ministry of Education,Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 49 (Health),Health,Ministry of Finance,Uttar Pradesh,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 50 (Agriculture),Agriculture,Ministry of Finance,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 51 (Finance),Finance,Ministry of Education,Karnataka,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 52 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Gujarat,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 53 (MSME),MSME,Ministry of Finance,Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 54 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 55 (Finance),Finance,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 56 (Health),Health,Ministry of Finance,Maharashtra,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 57 (Agriculture),Agriculture,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 58 (Agriculture),Agriculture,Ministry of Finance,All India,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 59 (MSME),MSME,Ministry of Health and Family Welfare,Uttar Pradesh,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 60 (Finance),Finance,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 61 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Gujarat,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 62 (Education),Education,Ministry of Agriculture & Farmers Welfare,Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 63 (Health),Health,Ministry of Finance,Gujarat,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 64 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 65 (Finance),Finance,Ministry of Finance,Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 66 (Finance),Finance,"Ministry of Micro, Small and Medium Enterprises",Gujarat,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 67 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 68 (Finance),Finance,Ministry of Finance,Gujarat,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 69 (Health),Health,Ministry of Health and Family Welfare,Maharashtra,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 70 (MSME),MSME,Ministry of Agriculture & Farmers Welfare,Uttar Pradesh,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 71 (MSME),MSME,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 72 (MSME),MSME,Ministry of Agriculture & Farmers Welfare,Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 73 (Finance),Finance,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 74 (Finance),Finance,Ministry of Finance,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 75 (MSME),MSME,Ministry of Education,Gujarat,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 76 (Health),Health,Ministry of Health and Family Welfare,Bihar,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 77 (Finance),Finance,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 78 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Gujarat,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 79 (Agriculture),Agriculture,Ministry of Education,Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 80 (Education),Education,Ministry of Education,Uttar Pradesh,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 81 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,Uttar Pradesh,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 82 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 83 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 84 (MSME),MSME,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 85 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 86 (Finance),Finance,Ministry of Education,Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 87 (Health),Health,Ministry of Agriculture & Farmers Welfare,Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 88 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 89 (Health),Health,Ministry of Education,Uttar Pradesh,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 90 (Agriculture),Agriculture,Ministry of Finance,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 91 (Health),Health,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 92 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 93 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 94 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 95 (Health),Health,Ministry of Education,Gujarat,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 96 (Education),Education,Ministry of Health and Family Welfare,Uttar Pradesh,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 97 (MSME),MSME,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 98 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 99 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 100 (Finance),Finance,Ministry of Education,Uttar Pradesh,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 101 (Agriculture),Agriculture,Ministry of Finance,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 102 (Health),Health,Ministry of Agriculture & Farmers Welfare,Gujarat,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 103 (MSME),MSME,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 104 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 105 (Education),Education,Ministry of Education,Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 106 (MSME),MSME,Ministry of Finance,Karnataka,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 107 (Agriculture),Agriculture,Ministry of Education,Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 108 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",All India,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 109 (Finance),Finance,Ministry of Education,Karnataka,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 110 (Education),Education,Ministry of Education,Bihar,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 111 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 112 (MSME),MSME,Ministry of Education,Karnataka,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 113 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 114 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 115 (Education),Education,Ministry of Agriculture & Farmers Welfare,Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 116 (Agriculture),Agriculture,Ministry of Finance,Maharashtra,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 117 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,Karnataka,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 118 (Health),Health,Ministry of Agriculture & Farmers Welfare,Maharashtra,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 119 (Education),Education,Ministry of Education,Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 120 (MSME),MSME,Ministry of Education,All India,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
